483224655342569243,SB_P2103 18,3.51,3.51
508554720813317088,SB_P2201 13.5,0.77,0.77
551624186098947071,SB_C2103 16.5,0.53,0.53
575305432890487407,SB_P2010 11,0.05,0.05
586356426656783660,SB_P2103 14.5,0.93,0.93
626616752322653494,SB_P2105 11.75,0.18,0.18
638363194387934568,SB_C2201 11,3.61,3.61
642680418703110176,SB_P2103 11.5,0.11,0.11
701066276491394758,SB_P2103 15.25,1.36,1.36
705936810535523554,SB_P2201 16.5,2.64,2.64
710109020226298675,SB_P2103 14.75,1.07,1.07
724682054041012915,SB_P2010 17.5,3.32,3.32
745070372065134796,SB_P2107 16.5,2.68,2.68
765841946377408486,SB_P2107 11,0.11,0.11
827901062184081880,SB_C2010 10,4.4,4.4
842901201433907735,SB_P2110 11.75,0.23,0.23
853672910393093220,SB_P2107 16,2.27,2.27
920467516688790562,SB_C2010 13.25,1.55,1.55
977058398256940751,SB_C2010 7,7.38,7.38
978459439490380463,SB_P2107 12,0.25,0.25
990387550058108359,SB_C2103 14,1.48,1.48
1016915184814515449,SB_P2101 19,4.38,4.38
1106649287327890630,SB_C2201 15.75,0.79,0.79
1142246046460231088,SB_C2107 12,2.5,2.5
1165583095640601968,SB_C2110 15.75,0.61,0.61
1166827901597702034,SB_C2101 12.25,2.69,2.69
1189883522237940834,SB_C2107 15.75,0.58,0.58
1204738292274320796,SB_P2101 19.5,4.85,4.85
1265374961754407752,SB_C2107 10.5,3.82,3.82
1341025485837214318,SB_C2107 8,6.26,6.26
1357710399684122843,SB_P2201 11,0.15,0.15
1365176690628976870,SB_P2101 22,7.28,7.28
1367139744052614124,SB_P2007 11,0.02,0.02
1376012110552681897,SB_P2110 10,0.05,0.05
1496288302905667621,SB_C2107 9.5,4.78,4.78
1553722714737998248,SB_P2101 17.25,2.8,2.8
1561089215703581914,SB_C2007 12.75,1.69,1.69
1604967314033716482,SB_C2103 16.75,0.47,0.47
1671051211589227730,SB_C2007 22,0.02,0.02
1706598262851455588,SB_C2201 11.25,3.39,3.39
1717071135546196433,SB_C2105 14.5,1.11,1.11
1726918189538479745,SB_P2105 11.25,0.12,0.12
1751816900910214577,SB_C2103 17,0.43,0.43
1751944172000520043,SB_P2110 17.5,3.59,3.59
1763981533468462569,SB_P2110 16.5,2.73,2.73
1834881897587579863,SB_P2007 12,0.08,0.08
1865225659016546652,SB_C2110 14.5,1.01,1.01
1887139067250815960,SB_P2101 12.25,0.16,0.16
1937022804717732813,SB_P2010 14.5,0.98,0.98
1975663195838516682,SB_C2110 13,1.79,1.79
1980519949267491733,SB_P2110 12.25,0.34,0.34
1989878525795279907,SB_P2107 12.75,0.44,0.44
2023921984398084934,SB_P2110 13.75,0.88,0.88
2040306072266559560,SB_C2101 14.75,1.02,1.02
2044693365152181319,SB_P2010 11.25,0.07,0.07
100549304870746351,OVS2_C2009 7.5,0,0
15238570733596964,KC_P2103 175,56.42,56.42
117236201134964032,OVS2_P2005 12.5,0,0
2095538436777211093,SB_C2007 15.25,0.4,0.4
2114596695396303860,SB_C2107 15,0.79,0.79
2117127662280741750,SB_P2107 13,0.52,0.52
2174365995624209746,SB_C2103 19.5,0.17,0.17
2225202407035019622,SB_C2201 16.75,0.55,0.55
2246705899118580552,SB_P2201 10,0.07,0.07
2252589714299410488,SB_P2105 13.5,0.63,0.63
2286761433734583301,SB_C2110 10.5,3.8,3.8
2288180367212348155,SB_P2103 17.75,3.29,3.29
2303218877746974837,SB_C2105 11.5,3.15,3.15
2353019007109218144,SB_P2105 18,3.77,3.77
2368938653551227119,SB_P2201 11.25,0.18,0.18
2407603988873925148,SB_C2007 7,7.26,7.26
2410607520156853188,SB_C2107 12.5,2.12,2.12
2443056029704001942,SB_C2103 11.5,3.39,3.39
2449879709945758227,SB_P2103 18.5,3.96,3.96
2487407595936807091,SB_C2010 11.75,2.74,2.74
2509028135669109797,SB_C2110 9,5.24,5.24
2581990063747558778,SB_P2110 11.25,0.16,0.16
2697031261969018788,SB_C2101 12.75,2.28,2.28
2785574469414542635,SB_P2110 16.75,2.94,2.94
2809258014586467864,SB_C2201 13,2.04,2.04
