Exchange,Product Name,Product Symbol,Alternate Symbol,Product Type,Asset Class,Sub-Asset Class,Currency,Market Data Channel
ICE,Gasoline Futures Spr,ZPR S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZKX S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNH S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLA S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZPU S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNK S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),VXI S,SG0.05,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZMF S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures Spr,VXI S|SWS S,0.05SG,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLS S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
Eurex,1ST FRIDAY OPT ABB,ABB1,,Spread,Equities,Single stock,,ALL
ICE,Gasoline Futures Spr,ZMX S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),VYA S,SG0.05,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZMW S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZOC S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
CME,WTS (Argus) vs. WTI Financial Futures,WTA,,Future,Energy,Crude Oil,USD,New York Mercantile Exchange
ICE,Gasoil Futures (balmo),VXZ S,SG0.05,Future,,,USD,IFEU Energy Div Oil
Eurex,DELTA LLOYD,DL,,Option Strategy,Equities,Single stock,,ALL
CME,E-mini Russell 1000 Growth Index Futures,RSG,,Spread,Equities,Index,USD,Chicago Mercantile Exchange
CME,Tennessee 800 Leg Natural Gas (Platts IFERC) Basis,6ZN,,Future,Energy,Natural Gas,USD,New York Mercantile Exchange
CME,,1JY|6J,,Option Strategy,,,USD,Chicago Mercantile Exchange
Euronext_DEV,AEX-INDEX,AEX,,Option Strategy,,,EUR,ALL
CME,,FBST,,Spread,,,MYR,Bursa Malaysia
ICE,Gasoline Futures Spr,ZMI S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
Eurex,"MSCI Pacific (USD,GTR)",FMPG,,Future,Equities,Index,USD,ALL
Eurex,"MSCI Japan (GTR,USD)",FMJG,,Future,Equities,Index,USD,ALL
Eurex,1ST FRIDAY BNP PARIBAS,BNP1,,Spread,Equities,Single stock,,ALL
Eurex,MSCI USA QA (USD / NTR),FMUQ,,Future,Equities,Index,USD,ALL
Eurex,MSCI USA EW (USD / NTR),FMUE,,Future,Equities,Index,USD,ALL
Eurex,MSCI Pacific (USD/NTR),FMPA,,Future,Equities,Index,USD,ALL
CME,Gulf Coast Jet Fuel (Platts) Futures,AGE,,Future,Energy,Refined Products,USD,New York Mercantile Exchange
Eurex,"MSCI EUROPE (NTR,USD)",FMED,,Future,Equities,Index,USD,ALL
Eurex,"MSCI EUROPExCH(NTR,EUR)",FMXS,,Future,Equities,Index,EUR,ALL
Eurex,"MSCI EMU (NTR,EUR)",FMMU,,Future,Equities,Index,EUR,ALL
Eurex,MSCI USA MM (USD / NTR),FMUM,,Future,Equities,Index,USD,ALL
Eurex,MSCI USA VW (USD / NTR),FMUV,,Future,Equities,Index,USD,ALL
CME,Palo Verde Day-Ahead Off-Peak Daily Cal-Month 5 MW Future,QVL,,Spread,Energy,Electricity,USD,New York Mercantile Exchange
Eurex,"MSCI Asia Pac (USD,NTR)",FMAP,,Future,Equities,Index,USD,ALL
Eurex,"MSCI ACWIexUS (USD,NTR)",FMXU,,Future,Equities,Index,USD,ALL
Eurex,UBISOFT ENTERT.,UEN,,Spread,Equities,Single stock,,ALL
Eurex,BG GROUP,BGG,,Option Strategy,Equities,Single stock,,ALL
ICE,Peak Futures (1 MW),BGA S,IndianaAMILBGS6,Future,,,USD,IFUS Energy Div Pwr
ICE,Gasoil Crack Futures (balmo),195 S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZQB S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNR S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Bitumen Futures,AB2 S,Argus ABX2,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZQO S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
Eurex,1ST FRIDAY ASML,ASM1,,Spread,Equities,Single stock,,ALL
Eurex,1ST FRIDAY UNICREDIT,UCR1,,Spread,Equities,Single stock,,ALL
Eurex,4TH FRIDAY UNICREDIT,UCR4,,Spread,Equities,Single stock,,ALL
ICE,Gasoline Futures Spr,ZOE S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLU S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
Eurex,4TH FRIDAY UNICREDIT,UCR4,,Option Strategy,Equities,Single stock,,ALL
Eurex,BARRY CALLEBAUT AG,BARN,,Option Strategy,Equities,Single stock,CHF,ALL
ICE,Gasoline Futures Spr,ZKU S|SMT S,,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),VXC S,SG0.05,Future,,,USD,IFEU Energy Div Oil
BVMF,,BGIX18P014000_E,,Option,,,BRL,ALL
ICE,Gasoline Futures Spr,ZMA S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNE S|SMS S,,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLZ S|SMF S,,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZKV S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures Spr,VXC S|SWS S,,Spread,,,USD,IFEU Energy Div Oil
Eurex,1ST FRIDAY NOVARTIS,NOW1,,Spread,Equities,Single stock,,ALL
ICE,Gasoline Futures Spr,ZPP S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
BVMF,,BGIN18P015000_E,,Option,,,BRL,ALL
ICE,Gasoline Futures Spr,ZNF S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
BVMF,,ISPZ18C002500_E,,Option,,,USD,ALL
ICE,Gasoline Futures Spr,ZLC S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNM S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures Spr,VXJ S|SWS S,0.05SG,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLB S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZPW S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNL S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),VXJ S,SG0.05,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZMH S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZMG S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),1GG S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),18F S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Crack Futures (bbl) (balmo),1EP S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Diff Futures (balmo),1FL S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),18E S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLI S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Crack Futures (bbl) (balmo),1EQ S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNS S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),1GF S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZKW S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
DGCX,Indian Rupee,DINR,,Spread,,,USD,ALL
ICE,Gasoline Futures Spr,ZPQ S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Peak Futures,54209,ERCOT N Daily,Future,,,USD,IFUS Energy Div Pwr
Euronext_DEV,CAC 40 Index Weekly Future - Wk3-2 IMS,FCE|2FC,,Spread,,,EUR,ALL
ICE_L,,93100,,Spread,,,,IFEU Financials
ICE,Peak Futures,54254,Ind RT Daily,Future,,,USD,IFUS Energy Div Pwr
ICE,Gasoline Futures Spr,ZMB S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
Eurex,FUT ON INDITEX,IXDO,,Spread,,,EUR,ALL
ASX2,,GV,,Spread,,,AUD,SFE
ASX2,,APAA,,Spread,,,AUD,SFE
NDAQ_EU,,ENOAFUTBLM|SYSTOAFUTBLM,,Spread,,,EUR,NDAQC
Euronext_DEV,AEX Index Weekly Future - Wk1-2 ICS,1FT|2FT,,Spread,,,EUR,ALL
Eurex,FUT ON ENDESA S.A.,EDSP,,Spread,,,EUR,ALL
CME,CAISO NP15 EZ Gen Hub 5 MW Peak Cal-Month Day-Ahead LMP Futures,4XW,,Spread,Energy,Electricity,USD,New York Mercantile Exchange
NFX,NFX Brent Crude|Low Sulphur Gasoil,BFQ/GOQ,,Spread,,,USD,ALL
ICE_L,Deutsche Boerse AG - Euro Cash FLEX Opt,FVJ,IFLO.FVJ,Option,,,EUR,IFEU Financials
CME,Weekly Premium Quoted European Style Options on Australian Dollar/US Dollar ,5AD|4AD,,Option Strategy,FX,Majors,USD,Chicago Mercantile Exchange
ASX2,,XD,,Future,,,AUD,SFE
ICE,Gasoline Futures Spr,ZNG S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
Euronext,,gFL6,,Common Stock,,,DKK,ALL
CME,Ventura Natural Gas (Platts Gas Daily) Swing Futures,VSN,,Future,Energy,Natural Gas,USD,New York Mercantile Exchange
Euronext_DEV,AEX Index Weekly Future - Wk4-2 IMS,4FT|2FT,,Spread,,,EUR,ALL
