Exchange,Product Name,Product Symbol,Alternate Symbol,Product Type,Asset Class,Sub-Asset Class,Currency,Market Data Channel
Eurex,RWE,RWEE,,Spread,Equities,Single stock,,ALL
ICE,Diesel Futures (balmo),CDA S,10ppmRT,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Futures (balmo),VYI S,WCS1b,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures Spr,BXE S|BAR S,3.5RT,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),VEO S,LS 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures (balmo),BJZ S,380SG,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),B0E S,BRN 1L/Dubai 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Diff Futures (balmo),VPL S,JetCNWE/LS 1L,Future,,,USD,IFEU Energy Div Oil
ICE,CCA Spr,CAN P,CCA V15,Spread,,,USD,ICE Phys Env
ICE,Fuel Oil Diff Futures (balmo),GGG S,1NYH/1FNWEC,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),AYX S,EUBob,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures Spr,BXK S|BAR S,3.5RT,Spread,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Futures Spr,ELR S|JCN S,JetCNWE,Spread,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Futures (balmo),0ZT S,JetUSGC,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Futures Spr,AMP S|DBI S,Dubai 1L,Spread,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Futures (balmo),BQJ S,SG Kero,Future,,,USD,IFEU Energy Div Oil
ICE,NG Basis LD1 for IF Futures,TFL S,Basis TGP 500L,Future,,,USD,IFUS Energy Div Gas
ICE,Gasoline Futures (balmo),0X3 S,RBOB 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Diff Futures (balmo),GQM S,SG Kero/Sing GO,Future,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Diff Futures Spr,VPE S|ULJ S,JetCNWE/LS 1L,Spread,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Diff Futures Spr,VOV S|ULJ S,JetCNWE/LS 1L,Spread,,,USD,IFEU Energy Div Oil
ICE,Peak Futures (1 MW) Spr,PEB S|PJC S,PJM EH/PJM WH,Spread,,,USD,IFUS Energy Div Pwr
ICE,NG Basis LD1 for NGX 7a Futures ICE Lots,AEC L,BS AECO ICELots,Future,,,USD,IFUS Energy Div Gas
ICE,Gasoline Futures (balmo),S9I S,SGMog97 Mini,Future,,,USD,IFEU Energy Div Oil
ICE,Diesel Futures Spr,CDY S|DOR S,10ppmRT,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures Spr,GSP S,GO 1L,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),FLW S,GO50,Future,,,USD,IFEU Energy Div Oil
ICE,Diesel Futures (balmo),FYI S,10pCNWE,Future,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Diff Futures (balmo),04Q S,JetUSGC/HO 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Crack Futures,FOK S,1NYH/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Diesel Futures,UCM S,10pCMed,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures (balmo),CKA S,1CMedC,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures (balmo),VFA S,LS 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Russell 1000 Index Mini TAS,RF_Z,R1000 Mini Set,Future,,,USD,ICE Futures U.S.
ICE,Peak Futures (1 MW) Spr,CIN S|PNL S,Indiana/NIRT1MW,Spread,,,USD,IFUS Energy Div Pwr
ICE,Off-Peak Futures (1 MW),OEN S,OP ERCOT N CLZ,Future,,,USD,IFUS Energy Div Pwr
ICE,Naphtha Futures Spr,GLB S|NPT S,NapFSG,Spread,,,USD,IFEU Energy Div Oil
ICE,Naphtha Futures Spr,FEW S|NJC S,Nap JP,Spread,,,USD,IFEU Energy Div Oil
ICE,Off-Peak Futures (1 MW),MOR S,OP AD Hub Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Fuel Oil Futures (balmo),BHE S,3.5CMedC,Future,,,USD,IFEU Energy Div Oil
ICE,REC-PJM Futures,TQF P,REC-PJM C1 20,Future,,,USD,ICE Phys Env
ICE,Gasoil Crack Futures (bbl) (balmo),137 S,LS 1L/BRN 1LBBL,Future,,,USD,IFEU Energy Div Oil
ICE,Peak Futures (1 MW),JCB S,JCPL DA,Future,,,USD,IFUS Energy Div Pwr
ICE,Diesel Diff Futures (balmo),VLT S,10ppmLH/LS 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Million USD/SEK Spr,IKX,Mill USD/SEK,Spread,,,SEK,ICE Futures U.S.
ICE,Gasoil Futures (balmo),FLP S,GO50,Future,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Futures Spr,BQP S|SRS S,SG Kero,Spread,,,USD,IFEU Energy Div Oil
BVMF,,IDIV18C261200_E,,Option,,,BRL,ALL
ICE,Diesel Diff Futures Spr,VMU S|ULI S,10pCMed/LS 1L,Spread,,,USD,IFEU Energy Div Oil
ICE,Diesel Diff Futures Spr,VMS S|ULI S,10pCMed/LS 1L,Spread,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Diff Futures Spr,AGJ S|SFS S,180SG/3.5RT,Spread,,,USD,IFEU Energy Div Oil
ICE,EUR/SEK 125 Spr,KRK,EUR/SEK 125,Spread,,,SEK,ICE Futures U.S.
ICE,Gasoline Diff Futures (balmo),05T S,GCCBOB87/RBOB1L,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Crack Futures (bbl) (balmo),F20 S,3.5RT/BRN 1LBBL,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Futures (balmo),AMV S,Dubai 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),MAS S,UralN/DBrentCFD,Future,,,USD,IFEU Energy Div Oil
ICE,Naphtha Futures Spr,FEC S|NJC S,Nap JP,Spread,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures (balmo),AWG S,1FRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Diesel Futures (balmo),FZB S,10pCNWE,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures Spr,BJV S|SYS S,380SG,Spread,,,USD,IFEU Energy Div Oil
CFE,,CFZ5,,Future,,,USD,ALL
CFE,,LVW24,,Future,,,USD,ALL
BVMF,,DOLZ17P003825_E,,Option,,,BRL,ALL
CFE,,CH,,Spread,,,USD,ALL
CFE,,BT,,Future,,,USD,ALL
BVMF,,IDIN18C262500_E,,Option,,,BRL,ALL
CFE,,HEXF3,,Future,,,USD,ALL
CFE,,HVW23,,Future,,,USD,ALL
CFE,,DEXF2,,Future,,,USD,ALL
CFE,,VA,,Future,,,USD,ALL
CFE,,BT,,Spread,,,USD,ALL
CFE,,VU,,Future,,,USD,ALL
BVMF,,CCMX17P003150_E,,Option,,,BRL,ALL
ICE_L,Eris GBP LIBOR 30YR Calendar 6M Interest Rate Future 1.00%,PNI R,GBP IRS PNI,Future,,,GBP,IFEU Financials
CFE,,CFY1,,Spread,,,USD,ALL
CFE,,CFY1,,Future,,,USD,ALL
BVMF,,D13F18P001500_E,,Option,,,BRL,ALL
BVMF,,D14V18C000825_E,,Option,,,BRL,ALL
CFE,,BTM1,,Future,,,USD,ALL
CFE,,DVW22,,Future,,,USD,ALL
CFE,,DVW1,,Future,,,USD,ALL
CFE,,VX,,Spread,,,USD,ALL
CFE,,DEXC2,,Future,,,USD,ALL
CFE,,VA,,Spread,,,USD,ALL
CFE,,HVW,,Future,,,USD,ALL
CFE,,LVW21,,Future,,,USD,ALL
CFE,,VAO,,Future,,,USD,ALL
CFE,,LVW24,,Spread,,,USD,ALL
CFE,,LEXF4,,Future,,,USD,ALL
CFE,,CFY21,,Spread,,,USD,ALL
eSpeed,7 Year On The Run US Treasury,usg_07Y,,US Treasury Bond,Interest Rates,U.S. Treasuries,USD,ALL
eSpeed,10 Year On The Run US Treasury,usg_10Y,,US Treasury Bond,Interest Rates,U.S. Treasuries,USD,ALL
eSpeed,30 Year On The Run US Treasury,usg_30Y,,US Treasury Bond,Interest Rates,U.S. Treasuries,USD,ALL
eSpeed,3 Year On The Run US Treasury,usg_03Y,,US Treasury Bond,Interest Rates,U.S. Treasuries,USD,ALL
eSpeed,2 Year On The Run US Treasury,usg_02Y,,US Treasury Bond,Interest Rates,U.S. Treasuries,USD,ALL
EEX,FRENCH PEAK MONTH FUTURE,F7PM,,Spread,,,,EEX Derivatives
EEX,IPS_ES_FR_BASE_WEEK3,FEBW|F7BW,,Spread,,,,EEX Derivatives
EEX,ITALIAN BASE WEEK FUTURE,FDBW,,Future,,,EUR,EEX Derivatives
EEX,PEAKLOAD MONTH FUTURE,F1PM,,Spread,,,,EEX Derivatives
EEX,DUTCH PEAK MONTH,QDPM,,Spread,,,,EEX Derivatives
EEX,FRENCH-PEAKLOAD-MONTH-FUTURE,F2PM,,Spread,,,,EEX Derivatives
EEX,IPS_IT_GE_BASE_MONTH,FDBM|F1BM,,Spread,,,,EEX Derivatives
EEX,IPS_GE_FR_PEAK_MONTH,F1PM|F7PM,,Spread,,,,EEX Derivatives
EEX,IPS_GE_FR_BASE_YEAR,F1BY|F7BY,,Spread,,,,EEX Derivatives
EEX,FRENCH-BASELOAD-MONTH-FUTURE,F2BM,,Spread,,,,EEX Derivatives
EEX,ITALIAN PEAK QUARTER FUTURE,FDPQ,,Future,,,EUR,EEX Derivatives
EEX,IPS_IT_CH_BASE_MONTH,FDBM|FCBM,,Spread,,,,EEX Derivatives
EEX,ITALIAN BASE YEAR FUTURE,FDBY,,Future,,,EUR,EEX Derivatives
EEX,DUTCH BASE MONTH,QDBM,,Future,,,EUR,EEX Derivatives
EEX,IPS_GE_FR_BASE_WEEK4,F1BW|F7BW,,Spread,,,,EEX Derivatives
CME,Italian PSV Natural Gas (ICIS Heren) vs. Dutch TTF Natural Gas (ICIS Heren) Calendar Month Spread Future,DPE,,Spread,Energy,Natural Gas,EUR,CME Europe Ltd
EEX,IPS_IT_FR_PEAK_WEEK5,FDPW|F7PW,,Spread,,,,EEX Derivatives
EEX,IPS_GE_FR_PEAK_QUARTER,F1PQ|F7PQ,,Spread,,,,EEX Derivatives
EEX,FRENCH BASE QUARTER FUTURE,F7BQ,,Future,,,EUR,EEX Derivatives
EEX,API 4 COAL MONTH FUTURE,FT4M,,Spread,,,,EEX Derivatives
EEX,SPANISH BASE MONTH FUTURE,FEBM,,Future,,,EUR,EEX Derivatives
EEX,SPANISH BASE QUARTER FUTURE,FEBQ,,Spread,,,,EEX Derivatives
EEX,SPANISH BASE MONTH FUTURE,FEBM,,Spread,,,,EEX Derivatives
EEX,BASELOAD YEAR FUTURE,F1BY,,Spread,,,,EEX Derivatives
EEX,BASELOAD QUARTER FUTURE,F1BQ,,Spread,,,,EEX Derivatives
EEX,FRENCH-BASELOAD-YEAR-FUTURE,F2BY,,Future,,,EUR,EEX Derivatives
EEX,SPANISH BASE DAY FUTURE,FEBD,,Future,,,EUR,EEX Derivatives
EEX,EU-AVIATION-ALLOWANCE,EUAA,,Spot,,,EUR,EEX Derivatives
EEX,SPANISH BASE QUARTER FUTURE,FEBQ,,Future,,,EUR,EEX Derivatives
EEX,DUTCH PEAK MONTH,QDPM,,Future,,,EUR,EEX Derivatives
CME,Corn Options,OZC,,Option Strategy,Agriculture,Grain and Oilseed,USD,Chicago Board of Trade
EEX,GOO ALPINE HYDRO POWER,FECA,,Future,,,EUR,EEX Derivatives
EEX,ITALIAN PEAK MONTH FUTURE,FDPM,,Future,,,EUR,EEX Derivatives
EEX,BASELOAD MONTH FUTURE,F1BM,,Spread,,,,EEX Derivatives
EEX,PHELIX OFF-PEAK YEAR FUTURE,F1OY,,Spread,,,,EEX Derivatives
EEX,PHELIX DAY PEAK FUTURE,F1PD,,Future,,,EUR,EEX Derivatives
EEX,API 4 COAL QUARTER FUTURE,FT4Q,,Future,,,USD,EEX Derivatives
EEX,PEAKLOAD YEAR FUTURE,F1PY,,Future,,,EUR,EEX Derivatives
EEX,NORDIC BASE QUARTER FUTURE,FBBQ,,Spread,,,,EEX Derivatives
EEX,ITALIAN BASE QUARTER FUTURE,FDBQ,,Spread,,,,EEX Derivatives
EEX,IPS_IT_FR_BASE_QUARTER,FDBQ|F7BQ,,Spread,,,,EEX Derivatives
EEX,FRENCH BASE WEEKEND FUTURE,F7BWE,,Future,,,EUR,EEX Derivatives
EEX,DUTCH BASE MONTH,QDBM,,Spread,,,,EEX Derivatives
EEX,IPS_ES_FR_BASE_YEAR,FEBY|F7BY,,Spread,,,,EEX Derivatives
EEX,NORDIC BASE YEAR FUTURE,FBBY,,Future,,,EUR,EEX Derivatives
EEX,IPS_IT_CH_BASE_QUARTER,FDBQ|FCBQ,,Spread,,,,EEX Derivatives
CME,Weekly Premium Quoted European Style Options on Swiss Franc/US Dollar,4SF,,Option,FX,Majors,USD,Chicago Mercantile Exchange
EEX,IPS_IT_GE_PEAK_QUARTER,FDPQ|F1PQ,,Spread,,,,EEX Derivatives
EEX,SWISS BASE MONTH FUTURE,FCBM,,Future,,,EUR,EEX Derivatives
EEX,PHELIX OFF-PEAK QUARTER FUTURE,F1OQ,,Spread,,,,EEX Derivatives
EEX,DUTCH PEAK QUARTER,QDPQ,,Spread,,,,EEX Derivatives
EEX,IPS_GE_NO_BASE_QUARTER,F1BQ|FBBQ,,Spread,,,,EEX Derivatives
CME,"ANR, Oklahoma Natural Gas (Platts IFERC) Basis | OneOk, Oklahoma Natural Gas (Platts IFERC) Basis",NEN|8XN,,Spread,Energy,Natural Gas,USD,New York Mercantile Exchange
EEX,FRENCH PEAK WEEK FUTURE,F7PW,,Future,,,EUR,EEX Derivatives
EEX,FRENCH-PEAKLOAD-WEEK-FUTURE,F2PW,,Future,,,EUR,EEX Derivatives
EEX,DUTCH PEAK YEAR,QDPY,,Spread,,,,EEX Derivatives
EEX,IPS_CH_GE_BASE_YEAR,FCBY|F1BY,,Spread,,,,EEX Derivatives
EEX,IPS_IT_GE_BASE_YEAR,FDBY|F1BY,,Spread,,,,EEX Derivatives
EEX,SWISS BASE YEAR FUTURE,FCBY,,Future,,,EUR,EEX Derivatives
EEX,API 4 COAL QUARTER FUTURE,FT4Q,,Spread,,,,EEX Derivatives
EEX,SPANISH BASE WEEKEND FUTURE,FEBWE,,Future,,,EUR,EEX Derivatives
EEX,BASELOAD YEAR FUTURE,F1BY,,Future,,,EUR,EEX Derivatives
EEX,BASELOAD QUARTER FUTURE,F1BQ,,Future,,,EUR,EEX Derivatives
EEX,FRENCH-BASELOAD-QUARTER-FUTURE,F2BQ,,Future,,,EUR,EEX Derivatives
EEX,BELGIAN BASE YEAR,QBBY,,Spread,,,,EEX Derivatives
Euronext,Repsol - Dividend Future,aRP8,,Future,,,EUR,ALL
EEX,IPS_FR_IT_PEAK_YEAR,F7PY|FDPY,,Spread,,,,EEX Derivatives
EEX,PEAKLOAD YEAR FUTURE,F1PY,,Spread,,,,EEX Derivatives
EEX,IPS_GE_FR_BASE_QUARTER,F1BQ|F7BQ,,Spread,,,,EEX Derivatives
EEX,ITALIAN BASE WEEKEND FUTURE,FDBWE,,Future,,,EUR,EEX Derivatives
EEX,API 2 COAL QUARTER FUTURE,FT2Q,,Future,,,USD,EEX Derivatives
EEX,ITALIAN PEAK QUARTER FUTURE,FDPQ,,Spread,,,,EEX Derivatives
EEX,FRENCH-PEAKLOAD-QUARTER-FUTURE,F2PQ,,Future,,,EUR,EEX Derivatives
EEX,BELGIAN BASE QUARTER,QBBQ,,Future,,,EUR,EEX Derivatives
EEX,DUTCH BASE QUARTER,QDBQ,,Spread,,,,EEX Derivatives
EEX,IPS_IT_FR_PEAK_MONTH,FDPM|F7PM,,Spread,,,,EEX Derivatives
Euronext,,gSBM,,Common Stock,,,EUR,ALL
EEX,API 2 COAL YEAR FUTURE,FT2Y,,Spread,,,,EEX Derivatives
EEX,FRENCH-PEAKLOAD-YEAR-FUTURE,F2PY,,Spread,,,,EEX Derivatives
EEX,DUTCH PEAK YEAR,QDPY,,Future,,,EUR,EEX Derivatives
EEX,ITALIAN PEAK WEEK FUTURE,FDPW,,Future,,,EUR,EEX Derivatives
EEX,EUROPEAN CARBON MIDDEC F.(EUA),F2EA,,Future,,,EUR,EEX Derivatives
EEX,NORDIC BASE QUARTER FUTURE,FBBQ,,Future,,,EUR,EEX Derivatives
EEX,BELGIAN BASE YEAR,QBBY,,Future,,,EUR,EEX Derivatives
Eurex,INDITEX,IXDN,,Spread,Equities,Single stock,EUR,ALL
EEX,SPANISH BASE YEAR FUTURE,FEBY,,Spread,,,,EEX Derivatives
EEX,FRENCH BASE DAY FUTURE,F7BD,,Future,,,EUR,EEX Derivatives
EEX,IPS_GE_FR_PEAK_YEAR,F1PY|F7PY,,Spread,,,,EEX Derivatives
EEX,IPS_ES_FR_BASE_MONTH,FEBM|F7BM,,Spread,,,,EEX Derivatives
Eurex,FIAT CHRYSLER AUTOMOBIL,FIAH,,Spread,Equities,Single stock,,ALL
EEX,PHELIX OFF-PEAK MONTH FUTURE,F1OM,,Future,,,EUR,EEX Derivatives
EEX,BELGIAN BASE MONTH,QBBM,,Future,,,EUR,EEX Derivatives
EEX,IPS_ES_FR_BASE_QUARTER,FEBQ|F7BQ,,Spread,,,,EEX Derivatives
EEX,API 4 COAL YEAR FUTURE,FT4Y,,Spread,,,,EEX Derivatives
EEX,FRENCH-PEAKLOAD-YEAR-FUTURE,F2PY,,Future,,,EUR,EEX Derivatives
EEX,BASELOAD MONTH FUTURE,F1BM,,Future,,,EUR,EEX Derivatives
EEX,FRENCH PEAK MONTH FUTURE,F7PM,,Future,,,EUR,EEX Derivatives
EEX,GOO NORDIC HYDRO POWER,FECN,,Future,,,EUR,EEX Derivatives
EEX,DUTCH PEAK QUARTER,QDPQ,,Future,,,EUR,EEX Derivatives
EEX,DUTCH BASE YEAR,QDBY,,Spread,,,,EEX Derivatives
EEX,IPS_IT_GE_PEAK_YEAR,FDPY|F1PY,,Spread,,,,EEX Derivatives
EEX,PHELIX OFF-PEAK MONTH FUTURE,F1OM,,Spread,,,,EEX Derivatives
EEX,BELGIAN BASE MONTH,QBBM,,Spread,,,,EEX Derivatives
EEX,IPS_IT_GE_BASE_WEEK4,FDBW|F1BW,,Spread,,,,EEX Derivatives
EEX,IPS_CH_GE_BASE_QUARTER,FCBQ|F1BQ,,Spread,,,,EEX Derivatives
EEX,ITALIAN PEAK YEAR FUTURE,FDPY,,Spread,,,,EEX Derivatives
EEX,PHELIX OFF-PEAK YEAR FUTURE,F1OY,,Future,,,EUR,EEX Derivatives
EEX,FRENCH BASE WEEK FUTURE,F7BW,,Future,,,EUR,EEX Derivatives
Eurex,EBRO FOODS,AZUM,,Spread,Equities,Single stock,EUR,ALL
EEX,ITALIAN BASE QUARTER FUTURE,FDBQ,,Future,,,EUR,EEX Derivatives
EEX,FRENCH BASE YEAR FUTURE,F7BY,,Future,,,EUR,EEX Derivatives
EEX,FRENCH-BASELOAD-WEEK-FUTURE,F2BW,,Future,,,EUR,EEX Derivatives
EEX,API 2 COAL MONTH FUTURE,FT2M,,Future,,,USD,EEX Derivatives
EEX,SWISS BASE QUARTER FUTURE,FCBQ,,Spread,,,,EEX Derivatives
EEX,SWISS BASE QUARTER FUTURE,FCBQ,,Future,,,EUR,EEX Derivatives
EEX,API 4 COAL MONTH FUTURE,FT4M,,Future,,,USD,EEX Derivatives
EEX,FRENCH BASE QUARTER FUTURE,F7BQ,,Spread,,,,EEX Derivatives
EEX,FRENCH PEAK YEAR FUTURE,F7PY,,Spread,,,,EEX Derivatives
EEX,ITALIAN BASE YEAR FUTURE,FDBY,,Spread,,,,EEX Derivatives
EEX,FRENCH PEAK QUARTER FUTURE,F7PQ,,Spread,,,,EEX Derivatives
Eurex,ALSTOM Dividend ,A3OM,,Spread,Equities,Dividend,EUR,ALL
EEX,GOO NORTHERN EUR WIND POWER,FECW,,Future,,,EUR,EEX Derivatives
EEX,NORDIC BASE YEAR FUTURE,FBBY,,Spread,,,,EEX Derivatives
Eurex,RTL GROUP,RGSI,,Spread,Equities,Single stock,EUR,ALL
Eurex,INDITEX Dividend ,I7XD,,Spread,Equities,Dividend,EUR,ALL
EEX,IPS_IT_GE_BASE_QUARTER,FDBQ|F1BQ,,Spread,,,,EEX Derivatives
EEX,PEAKLOAD QUARTER FUTURE,F1PQ,,Future,,,EUR,EEX Derivatives
EEX,PHELIX BASE WEEK FUTURE,F1BW,,Future,,,EUR,EEX Derivatives
Eurex,BANCO SANTANDER SA,SANG,,Spread,Equities,Single stock,EUR,ALL
Eurex,1st Friday Weekly DAX Options,ODX1,,Spread,Equities,Index,,ALL
Eurex,STOXX Europe 600 TELECOM,OSTT,,Option,Equities,Index,EUR,ALL
Eurex,UNILEVER,UNIH,,Future,Equities,Single stock,EUR,ALL
Eurex,DIAGEO PLC Dividend ,D2GE,,Future,Equities,Dividend,GBX,ALL
Eurex,COMCAST CORP,CMCF,,Spread,Equities,Single stock,USD,ALL
Eurex,ENEL Dividend ,E2NL,,Spread,Equities,Dividend,EUR,ALL
Eurex,KINROSS GOLD,KINF,,Future,Equities,Single stock,USD,ALL
Euronext_DEV,Unilever - European Stock Option,UN9,,Option,,,EUR,ALL
Euronext_DEV,KONINKLIJKE KPN NV OLD,KPW,,Option,,,EUR,ALL
Euronext_DEV,Electricite de France European,DF3,,Option,,,EUR,ALL
Euronext_DEV,PostNL N.V Stnd Option,PNL,,Option,,,EUR,ALL
Euronext_DEV,Tarkett - Stock Option,XT1,,Option,,,EUR,ALL
EEX,NR ETF NATURAL GAS MONTH,HDBM,,Future,,,EUR,EEX Derivatives
Euronext_DEV,,RNE,,Common Stock,,,EUR,ALL
Euronext_DEV,Eurazeo - Stock Option,RF1,,Option,,,EUR,ALL
Euronext_DEV,,ITR,,Common Stock,,,EUR,ALL
Euronext_DEV,,EH1,,Common Stock,,,EUR,ALL
Euronext_DEV,Air France-KLM (100),AF1,,Option,,,EUR,ALL
Euronext_DEV,,EN,,Common Stock,,,EUR,ALL
EEX,GRT GAZ PEG NORD N YEAR FUT,G5BY,,Future,,,EUR,EEX Derivatives
Euronext_DEV,,GAL,,Common Stock,,,EUR,ALL
Euronext_DEV,Orange SA European,FT3,,Option,,,EUR,ALL
Euronext_DEV,Total (100),TO1,,Option Strategy,,,EUR,ALL
Euronext_DEV,Royal Dutch Shell 'A' Shares,RD,,Option,,,EUR,ALL
Euronext_DEV,OCI NV STND OPT,OCI,,Option,,,EUR,ALL
EEX,NR NCG NATURAL GAS SEASON,H0BS,,Future,,,EUR,EEX Derivatives
Euronext_DEV,,SW,,Common Stock,,,EUR,ALL
Euronext_DEV,L'Oreal (100),OR1,,Option,,,EUR,ALL
Euronext_DEV,,BAM,,Common Stock,,,EUR,ALL
Euronext_DEV,Michelin (100),ML1,,Option,,,EUR,ALL
Euronext_DEV,SPIE - Stock Option,ZP1,,Option,,,EUR,ALL
Euronext_DEV,UCB,UCB,,Option,,,EUR,ALL
EEX,PSV NATURAL GAS YEAR FUTURES,GCBY,,Future,,,EUR,EEX Derivatives
Euronext_DEV,,SU,,Common Stock,,,EUR,ALL
EEX,GPL BASELOAD QUARTER FUTURE,G2BQ,,Future,,,EUR,EEX Derivatives
Euronext_DEV,,ASR,,Common Stock,,,EUR,ALL
Euronext_DEV,Bollore Group (100),HA1,,Option,,,EUR,ALL
EEX,NBP NATURAL GAS FUTURES,G9BS,,Future,,,GBX,EEX Derivatives
Euronext_DEV,ASML Holding NV - European Stock Option,AS9,,Option,,,EUR,ALL
Euronext_DEV,AEX Index - Mini Option,MOA,,Option,,,EUR,ALL
CME,CAISO SP15 EZ Gen Hub 5 MW Off-Peak Cal-Day Day-Ahead LMP Futures,C4Z,,Future,Energy,Electricity,USD,New York Mercantile Exchange
CME,Eurodollar Options Strategy,E04|E03,,Option Strategy,Interest Rates,STIRS,USD,Chicago Mercantile Exchange
CME,Soybean Oil Weekly Options Wk 3,ZL3,,Option,Agriculture,Grain and Oilseed,USD,Chicago Board of Trade
CME,German Gaspool Natural Gas (ICIS Heren) Calendar Month Future,GRE,,Future,Energy,Natural Gas,EUR,CME Europe Ltd
CME,Russian Ruble Weekly Options Wk 3,6R3,,Option,FX,Emerging Market,USD,Chicago Mercantile Exchange
Euronext_DEV,ABN AMRO Group - Stock Option,ABN,,Option Strategy,,,EUR,ALL
CME,European Gasoil Ice Tas,7FT,,Future,Energy,Refined Products,USD,New York Mercantile Exchange
CME,,V6S,,Option,,,USD,Chicago Mercantile Exchange
CME,NY 3.0% Fuel Oil (Platts) Futures,AH1,,Future,Energy,Refined Products,USD,New York Mercantile Exchange
CME,,ADU|1AD,,Option Strategy,,,USD,Chicago Mercantile Exchange
CME,,3BP|1BP,,Option Strategy,,,USD,Chicago Mercantile Exchange
CME,Berlin Hdd Monthly,D3,,Future,,,EUR,Chicago Mercantile Exchange
CME,Soybean Nov-July CSO,SZ9,,Option Strategy,Agriculture,Grain and Oilseed,USD,Chicago Board of Trade
CME,,NX|8BN,,Spread,,,USD,New York Mercantile Exchange
CME,5-Year T-Note Options Strategy,ZF1|ZF5,,Option Strategy,Interest Rates,U.S. Treasuries,USD,Chicago Board of Trade
CME,E-mini S&P 500 Weekly Options Wk 2,EW2,,Option Strategy,Equities,Index,USD,Chicago Mercantile Exchange
CME,,VH4,,Future,,,USD,Chicago Mercantile Exchange
CME,,CIL,,Spread,,,USD,New York Mercantile Exchange
CME,Mini Brent Financial Futures,MBC,,Future,Energy,Crude Oil,USD,New York Mercantile Exchange
CME,CIG Rockies Natural Gas (Platts IFERC) Basis | PG&E Citygate Natural Gas (Platts IFERC) Basis,CIN|PC,,Spread,Energy,Natural Gas,USD,New York Mercantile Exchange
CME,Ngpl Stx Nat Gas Swing - Daily,Q7,,Future,,,USD,New York Mercantile Exchange
CME,,VBS,,Spread,,,USD,New York Mercantile Exchange
CME,Daily Mont Belvieu Natural Gasoline (Non-LDH) (OPIS) Futures,C5D,,Future,Energy,Petrochemicals,USD,New York Mercantile Exchange
CME,,ZS5|ZS1,,Option Strategy,,,USD,Chicago Board of Trade
CME,Light Sweet Crude Oil European Financial Options,LCE,,Option Strategy,Energy,Crude Oil,USD,New York Mercantile Exchange
CME,Freight Route Liquid Petroleum Gas (Baltic) Future,FLP,,Future,Energy,Freight,USD,New York Mercantile Exchange
CME,,ZF1|ZB1,,Option Strategy,,,USD,Chicago Board of Trade
CME,Low Sulphur Gasoil 100Mt Penult Day,LSP,,Future,,,USD,New York Mercantile Exchange
CME,Crude Oil Weekly Options Strategy,LO2|LO,,Option Strategy,Energy,Crude Oil,USD,New York Mercantile Exchange
CME,Dollar-Peso Futures,M:DA17,,Future,,,MXN,MexDer
CME,E-mini S&P 500 Weekly Options Wk 1,EW1,,Option,Equities,Index,USD,Chicago Mercantile Exchange
CME,20-Year USD MAC Swap Futures,E1U,,Future,Interest Rates,Swaps,USD,Chicago Board of Trade
CME,,H22,,Future,,,USD,Chicago Mercantile Exchange
CME,Japanese Yen Futures,6J,,Future,FX,Majors,USD,Chicago Mercantile Exchange
CME,Singapore Fuel Oil 380cst (Platts) Brent Crack Spread (1000mt) Futures,SF3,,Future,Energy,Refined Products,USD,New York Mercantile Exchange
CME,PJM West Hub 50 MW Same Day Option D15,Z15,,Option,Energy,Electricity,USD,New York Mercantile Exchange
